State,Year,Residence,Institutional_Delivery,Antenatal_Care,Financial_Access,Anaemia,Adolescent_Fertility,IMR
Andhra Pradesh,2019,Rural,95.7,67.6,79.6,59.3,80,20.86
Andhra Pradesh,2019,Urban,98.6,67.2,86.7,57.8,40,12.12
Assam,2019,Rural,82.9,49.2,77.9,66.0,64,24.68
Assam,2019,Urban,93.5,62.6,81.9,65.2,41,12.32
Bihar,2019,Rural,75.0,24.0,76.2,63.1,80,20.64
Bihar,2019,Urban,84.1,32.4,79.1,65.6,60,16.14
Chhattisgarh,2019,Rural,83.9,59.6,81.1,62.2,25,23.36
Chhattisgarh,2019,Urban,93.1,62.2,77.9,56.5,19,18.52
Delhi,2019,Rural,90.4,83.1,-84.8,58.6,42,12.4
Delhi,2019,Urban,91.8,77.1,72.3,49.7,18,9.62
Gujarat,2019,Rural,92.2,73.3,67.5,67.6,40,20.82
Gujarat,2019,Urban,97.8,82.4,73.5,61.3,24,11.26
Haryana,2019,Rural,94.4,59.2,72.4,61.9,29,20.28
Haryana,2019,Urban,96.1,63.1,76.3,57.4,21,14.72
Himachal Pradesh,2019,Rural,87.6,69.3,82.2,53.3,22,15.0
Himachal Pradesh,2019,Urban,93.1,77.3,88.8,51.0,21,10.0
Jammu and Kashmir,2019,Rural,90.5,80.2,83.5,67.5,10,16.42
Jammu and Kashmir,2019,Urban,98.6,83.1,88.5,61.4,5,12.28
Jharkhand,2019,Rural,73.1,36.4,79.8,66.7,73,18.38
Jharkhand,2019,Urban,89.1,48.5,79.2,61.1,34,12.24
Karnataka,2019,Rural,96.2,70.6,87.7,50.3,47,16.48
Karnataka,2019,Urban,98.3,71.2,90.2,43.9,27,10.8
Kerala,2019,Rural,99.8,78.0,78.2,35.8,21,5.52
Kerala,2019,Urban,99.7,79.3,78.9,37.0,15,4.22
Ladakh,2019,Rural,94.0,78.5,88.7,93.5,2,16.42
Ladakh,2019,Urban,99.1,78.2,87.2,89.5,0,12.28
Madhya Pradesh,2019,Rural,89.2,55.6,73.3,55.8,43,29.22
Madhya Pradesh,2019,Urban,95.8,63.3,78.5,51.5,19,18.08
Maharashtra,2019,Rural,93.1,68.7,70.9,56.1,63,13.98
Maharashtra,2019,Urban,96.7,72.2,75.0,52.0,29,7.64
Odisha,2019,Rural,91.3,77.4,87.4,64.9,43,25.88
Odisha,2019,Urban,97.5,82.0,82.8,61.5,27,18.56
Punjab,2019,Rural,95.5,58.4,82.1,58.5,23,12.8
Punjab,2019,Urban,92.0,60.8,80.9,59.0,17,10.92
Rajasthan,2019,Rural,94.2,53.9,79.0,55.7,34,25.1
Rajasthan,2019,Urban,97.5,60.6,81.7,49.9,17,14.34
Tamil Nadu,2019,Rural,99.4,90.8,91.7,55.3,44,11.38
Tamil Nadu,2019,Urban,99.8,88.8,92.7,51.3,23,7.72
Telangana,2019,Rural,96.6,70.0,85.2,58.9,56,19.64
Telangana,2019,Urban,97.7,71.1,83.0,55.2,34,12.72
Uttar Pradesh,2019,Rural,82.9,39.6,74.1,50.5,24,26.62
Uttar Pradesh,2019,Urban,85.5,52.3,79.8,50.1,14,18.02
Uttarakhand,2019,Rural,80.4,57.3,79.8,41.1,21,17.228571428571428
Uttarakhand,2019,Urban,89.4,71.0,81.3,45.8,17,17.285714285714285
West Bengal,2019,Rural,91.6,73.8,73.2,74.4,93,14.42
West Bengal,2019,Urban,92.3,81.2,82.9,65.1,51,11.8
